Variable,Variable Name,Measurement Unit,Allowed Values,Description
Quarter_Year,Year with quarter details,MM/DD/YYY,1-12/1-31/2000-2023,Year with quarter details
Other_United_States,Other renewables : United States,Numeric,0-9999,Other renewables : United States
Other_New_England,Other renewables : New England,Numeric,0-9999,Other renewables : New England
Other_Connecticut,Other renewables : Connecticut,Numeric,0-9999,Other renewables : Connecticut
Other_Maine,Other renewables : Maine,Numeric,0-9999,Other renewables : Maine
Other_Massachusetts,Other renewables : Massachusetts,Numeric,0-9999,Other renewables : Massachusetts
Other_New_Hampshire,Other renewables : New Hampshire,Numeric,0-9999,Other renewables : New Hampshire
Other_Rhode_Island,Other renewables : Rhode Island,Numeric,0-9999,Other renewables : Rhode Island
Other_Vermont,Other renewables : Vermont,Numeric,0-9999,Other renewables : Vermont
Other_Middle_Atlantic,Other renewables : Middle Atlantic,Numeric,0-9999,Other renewables : Middle Atlantic
Other_New_Jersey,Other renewables : New Jersey,Numeric,0-9999,Other renewables : New Jersey
Other_New_York,Other renewables : New York,Numeric,0-9999,Other renewables : New York
Other_Pennsylvania,Other renewables : Pennsylvania,Numeric,0-9999,Other renewables : Pennsylvania
Other_East_North_Central,Other renewables : East North Central,Numeric,0-9999,Other renewables : East North Central
Other_Illinois,Other renewables : Illinois,Numeric,0-9999,Other renewables : Illinois
Other_Indiana,Other renewables : Indiana,Numeric,0-9999,Other renewables : Indiana
Other_Michigan,Other renewables : Michigan,Numeric,0-9999,Other renewables : Michigan
Other_Ohio,Other renewables : Ohio,Numeric,0-9999,Other renewables : Ohio
Other_Wisconsin,Other renewables : Wisconsin,Numeric,0-9999,Other renewables : Wisconsin
Other_West_North_Central,Other renewables : West North Central,Numeric,0-9999,Other renewables : West North Central
Other_Iowa,Other renewables : Iowa,Numeric,0-9999,Other renewables : Iowa
Other_Kansas,Other renewables : Kansas,Numeric,0-9999,Other renewables : Kansas
Other_Minnesota,Other renewables : Minnesota,Numeric,0-9999,Other renewables : Minnesota
Other_Missouri,Other renewables : Missouri,Numeric,0-9999,Other renewables : Missouri
Other_Nebraska,Other renewables : Nebraska,Numeric,0-9999,Other renewables : Nebraska
Other_North_Dakota,Other renewables : North Dakota,Numeric,0-9999,Other renewables : North Dakota
Other_South_Dakota,Other renewables : South Dakota,Numeric,0-9999,Other renewables : South Dakota
Other_South_Atlantic,Other renewables : South Atlantic,Numeric,0-9999,Other renewables : South Atlantic
Other_Delaware,Other renewables : Delaware,Numeric,0-9999,Other renewables : Delaware
Other_District_Of_Columbia,Other renewables : District Of Columbia,Numeric,0-9999,Other renewables : District Of Columbia
Other_Florida,Other renewables : Florida,Numeric,0-9999,Other renewables : Florida
Other_Georgia,Other renewables : Georgia,Numeric,0-9999,Other renewables : Georgia
Other_Maryland,Other renewables : Maryland,Numeric,0-9999,Other renewables : Maryland
Other_North_Carolina,Other renewables : North Carolina,Numeric,0-9999,Other renewables : North Carolina
Other_South_Carolina,Other renewables : South Carolina,Numeric,0-9999,Other renewables : South Carolina
Other_Virginia,Other renewables : Virginia,Numeric,0-9999,Other renewables : Virginia
Other_West_Virginia,Other renewables : West Virginia,Numeric,0-9999,Other renewables : West Virginia
Other_East_South_Central,Other renewables : East South Central,Numeric,0-9999,Other renewables : East South Central
Other_Alabama,Other renewables : Alabama,Numeric,0-9999,Other renewables : Alabama
Other_Kentucky,Other renewables : Kentucky,Numeric,0-9999,Other renewables : Kentucky
Other_Mississippi,Other renewables : Mississippi,Numeric,0-9999,Other renewables : Mississippi
Other_Tennessee,Other renewables : Tennessee,Numeric,0-9999,Other renewables : Tennessee
Other_West_South_Central,Other renewables : West South Central,Numeric,0-9999,Other renewables : West South Central
Other_Arkansas,Other renewables : Arkansas,Numeric,0-9999,Other renewables : Arkansas
Other_Louisiana,Other renewables : Louisiana,Numeric,0-9999,Other renewables : Louisiana
Other_Oklahoma,Other renewables : Oklahoma,Numeric,0-9999,Other renewables : Oklahoma
Other_Texas,Other renewables : Texas,Numeric,0-9999,Other renewables : Texas
Other_Mountain,Other renewables : Mountain,Numeric,0-9999,Other renewables : Mountain
Other_Arizona,Other renewables : Arizona,Numeric,0-9999,Other renewables : Arizona
Other_Colorado,Other renewables : Colorado,Numeric,0-9999,Other renewables : Colorado
Other_Idaho,Other renewables : Idaho,Numeric,0-9999,Other renewables : Idaho
Other_Montana,Other renewables : Montana,Numeric,0-9999,Other renewables : Montana
Other_Nevada,Other renewables : Nevada,Numeric,0-9999,Other renewables : Nevada
Other_New_Mexico,Other renewables : New Mexico,Numeric,0-9999,Other renewables : New Mexico
Other_Utah,Other renewables : Utah,Numeric,0-9999,Other renewables : Utah
Other_Wyoming,Other renewables : Wyoming,Numeric,0-9999,Other renewables : Wyoming
Other_Pacific_Contiguous,Other renewables : Pacific Contiguous,Numeric,0-9999,Other renewables : Pacific Contiguous
Other_California,Other renewables : California,Numeric,0-9999,Other renewables : California
Other_Oregon,Other renewables : Oregon,Numeric,0-9999,Other renewables : Oregon
Other_Washington,Other renewables : Washington,Numeric,0-9999,Other renewables : Washington
Other_Pacific_Noncontiguous,Other renewables : Pacific Noncontiguous,Numeric,0-9999,Other renewables : Pacific Noncontiguous
Other_Alaska,Other renewables : Alaska,Numeric,0-9999,Other renewables : Alaska
Other_Hawaii,Other renewables : Hawaii,Numeric,0-9999,Other renewables : Hawaii
Wind_United_States,Wind : United States,Numeric,0-9999,Wind : United States
Wind_New_England,Wind : New England,Numeric,0-9999,Wind : New England
Wind_Connecticut,Wind : Connecticut,Numeric,0-9999,Wind : Connecticut
Wind_Maine,Wind : Maine,Numeric,0-9999,Wind : Maine
Wind_Massachusetts,Wind : Massachusetts,Numeric,0-9999,Wind : Massachusetts
Wind_New_Hampshire,Wind : New Hampshire,Numeric,0-9999,Wind : New Hampshire
Wind_Rhode_Island,Wind : Rhode Island,Numeric,0-9999,Wind : Rhode Island
Wind_Vermont,Wind : Vermont,Numeric,0-9999,Wind : Vermont
Wind_Middle_Atlantic,Wind : Middle Atlantic,Numeric,0-9999,Wind : Middle Atlantic
Wind_New_Jersey,Wind : New Jersey,Numeric,0-9999,Wind : New Jersey
Wind_New_York,Wind : New York,Numeric,0-9999,Wind : New York
Wind_Pennsylvania,Wind : Pennsylvania,Numeric,0-9999,Wind : Pennsylvania
Wind_East_North_Central,Wind : East North Central,Numeric,0-9999,Wind : East North Central
Wind_Illinois,Wind : Illinois,Numeric,0-9999,Wind : Illinois
Wind_Indiana,Wind : Indiana,Numeric,0-9999,Wind : Indiana
Wind_Michigan,Wind : Michigan,Numeric,0-9999,Wind : Michigan
Wind_Ohio,Wind : Ohio,Numeric,0-9999,Wind : Ohio
Wind_Wisconsin,Wind : Wisconsin,Numeric,0-9999,Wind : Wisconsin
Wind_West_North_Central,Wind : West North Central,Numeric,0-9999,Wind : West North Central
Wind_Iowa,Wind : Iowa,Numeric,0-9999,Wind : Iowa
Wind_Kansas,Wind : Kansas,Numeric,0-9999,Wind : Kansas
Wind_Minnesota,Wind : Minnesota,Numeric,0-9999,Wind : Minnesota
Wind_Missouri,Wind : Missouri,Numeric,0-9999,Wind : Missouri
Wind_Nebraska,Wind : Nebraska,Numeric,0-9999,Wind : Nebraska
Wind_North_Dakota,Wind : North Dakota,Numeric,0-9999,Wind : North Dakota
Wind_South_Dakota,Wind : South Dakota,Numeric,0-9999,Wind : South Dakota
Wind_South_Atlantic,Wind : South Atlantic,Numeric,0-9999,Wind : South Atlantic
Wind_Delaware,Wind : Delaware,Numeric,0-9999,Wind : Delaware
Wind_District_Of_Columbia,Wind : District Of Columbia,Numeric,0-9999,Wind : District Of Columbia
Wind_Florida,Wind : Florida,Numeric,0-9999,Wind : Florida
Wind_Georgia,Wind : Georgia,Numeric,0-9999,Wind : Georgia
Wind_Maryland,Wind : Maryland,Numeric,0-9999,Wind : Maryland
Wind_North_Carolina,Wind : North Carolina,Numeric,0-9999,Wind : North Carolina
Wind_South_Carolina,Wind : South Carolina,Numeric,0-9999,Wind : South Carolina
Wind_Virginia,Wind : Virginia,Numeric,0-9999,Wind : Virginia
Wind_West_Virginia,Wind : West Virginia,Numeric,0-9999,Wind : West Virginia
Wind_East_South_Central,Wind : East South Central,Numeric,0-9999,Wind : East South Central
Wind_Alabama,Wind : Alabama,Numeric,0-9999,Wind : Alabama
Wind_Kentucky,Wind : Kentucky,Numeric,0-9999,Wind : Kentucky
Wind_Mississippi,Wind : Mississippi,Numeric,0-9999,Wind : Mississippi
Wind_Tennessee,Wind : Tennessee,Numeric,0-9999,Wind : Tennessee
Wind_West_South_Central,Wind : West South Central,Numeric,0-9999,Wind : West South Central
Wind_Arkansas,Wind : Arkansas,Numeric,0-9999,Wind : Arkansas
Wind_Louisiana,Wind : Louisiana,Numeric,0-9999,Wind : Louisiana
Wind_Oklahoma,Wind : Oklahoma,Numeric,0-9999,Wind : Oklahoma
Wind_Texas,Wind : Texas,Numeric,0-9999,Wind : Texas
Wind_Mountain,Wind : Mountain,Numeric,0-9999,Wind : Mountain
Wind_Arizona,Wind : Arizona,Numeric,0-9999,Wind : Arizona
Wind_Colorado,Wind : Colorado,Numeric,0-9999,Wind : Colorado
Wind_Idaho,Wind : Idaho,Numeric,0-9999,Wind : Idaho
Wind_Montana,Wind : Montana,Numeric,0-9999,Wind : Montana
Wind_Nevada,Wind : Nevada,Numeric,0-9999,Wind : Nevada
Wind_New_Mexico,Wind : New Mexico,Numeric,0-9999,Wind : New Mexico
Wind_Utah,Wind : Utah,Numeric,0-9999,Wind : Utah
Wind_Wyoming,Wind : Wyoming,Numeric,0-9999,Wind : Wyoming
Wind_Pacific_Contiguous,Wind : Pacific Contiguous,Numeric,0-9999,Wind : Pacific Contiguous
Wind_California,Wind : California,Numeric,0-9999,Wind : California
Wind_Oregon,Wind : Oregon,Numeric,0-9999,Wind : Oregon
Wind_Washington,Wind : Washington,Numeric,0-9999,Wind : Washington
Wind_Pacific_Noncontiguous,Wind : Pacific Noncontiguous,Numeric,0-9999,Wind : Pacific Noncontiguous
Wind_Alaska,Wind : Alaska,Numeric,0-9999,Wind : Alaska
Wind_Hawaii,Wind : Hawaii,Numeric,0-9999,Wind : Hawaii
